Name,Símbolo,Mercado,Último (Preço),%,Data/Hora,Link
NATURGY ENERGY GR,1NTGY,BGEM,"EUR 25,70","1,50%",14 Jan 2026,https://live.euronext.com/pt/product/equities/ES0116870314-BGEM
NATURGY ENERGY GR,4NTGY,ETLX,"EUR 24,74","1,06%",12 Dec 2025,https://live.euronext.com/pt/product/equities/ES0116870314-ETLX
NAVAMEDIC,NAVA,XOSL,"NOK 21,80","-0,46%",16:28 CET,https://live.euronext.com/pt/product/equities/NO0010205966-XOSL
NEDAP,NEDAP,XAMS,"EUR 90,90","-1,20%",17:35 CET,https://live.euronext.com/pt/product/equities/NL0000371243-XAMS
NEKKAR,NKR,XOSL,"NOK 12,60","-0,79%",16:25 CET,https://live.euronext.com/pt/product/equities/NO0003049405-XOSL
NORWEGIAN AIR SHUT,NAS,XOSL,"NOK 16,075","-1,86%",16:26 CET,https://live.euronext.com/pt/product/equities/NO0010196140-XOSL
NORWEGIAN BLOCK EX,NBX,MERK,"NOK 0,45","-3,02%",16:25 CET,https://live.euronext.com/pt/product/equities/NO0010984966-MERK
NOS NOVA,NOSN,MERK,"NOK 1,37",-,16:29 CET,https://live.euronext.com/pt/product/equities/NO0010917339-MERK
"NOS, SGPS",2NOS,MTAH,-,-,-,https://live.euronext.com/pt/product/equities/PTZON0AM0006-MTAH
"NOS, SGPS",NOS,XLIS,"EUR 4,165","-2,23%",16:35 WET,https://live.euronext.com/pt/product/equities/PTZON0AM0006-XLIS
NOTORIOUS PICTURES,NPI,EXGM,"EUR 0,708","2,31%",10:01 CET,https://live.euronext.com/pt/product/equities/IT0005025355-EXGM
"NOVABASE,SGPS",NBA,XLIS,"EUR 9,15","-0,54%",13:39 WET,https://live.euronext.com/pt/product/equities/PTNBA0AM0006-XLIS
NOVACYT,ALNOV,ALXP,"EUR 0,3935","-2,72%",17:35 CET,https://live.euronext.com/pt/product/equities/FR0010397232-ALXP
NOVAMARINE,NOVA,EXGM,"EUR 7,70","1,32%",09:43 CET,https://live.euronext.com/pt/product/equities/IT0005605701-EXGM
Novartis,1NOVN,BGEM,"EUR 123,00","-2,38%",15:30 CET,https://live.euronext.com/pt/product/equities/CH0012005267-BGEM
NOVATECH IND.,MLNOV,XMLI,"EUR 19,70","-0,51%",16:30 CET,https://live.euronext.com/pt/product/equities/FR0000185464-XMLI
NR21,NR21,XPAR,"EUR 39,00","-3,47%",23 Dec 2025,https://live.euronext.com/pt/product/equities/FR0014001PV6-XPAR
NRC GROUP,NRC,XOSL,"NOK 9,42","2,28%",16:27 CET,https://live.euronext.com/pt/product/equities/NO0003679102-XOSL
NRG Energy Inc,1NRG,BGEM,"EUR 135,80","0,11%",15:11 CET,https://live.euronext.com/pt/product/equities/US6293775085-BGEM
NRJ GROUP,NRG,XPAR,"EUR 7,68","0,26%",17:35 CET,https://live.euronext.com/pt/product/equities/FR0000121691-XPAR
NSC GROUPE,ALNSC,ALXP,"EUR 74,50","11,19%",11:30 CET,https://live.euronext.com/pt/product/equities/FR0000064529-ALXP
NSE,ALNSE,ALXP,"EUR 47,70","0,42%",17:28 CET,https://live.euronext.com/pt/product/equities/FR0004065639-ALXP
NSI N.V.,NSI,XAMS,"EUR 19,78","-1,59%",17:35 CET,https://live.euronext.com/pt/product/equities/NL0012365084-XAMS
NU Holdings,1NUH,BGEM,"EUR 14,086","-2,06%",16:35 CET,https://live.euronext.com/pt/product/equities/KYG6683N1034-BGEM
Nucor Corp,1NUE,BGEM,"EUR 151,14","2,37%",15 Jan 2026,https://live.euronext.com/pt/product/equities/US6703461052-BGEM
NUSCO,NUS,EXGM,"EUR 0,815","0,62%",17:35 CET,https://live.euronext.com/pt/product/equities/IT0005453110-EXGM
NVENT ELECTRIC PLC,1NVT,BGEM,"EUR 95,00","0,53%",12:56 CET,https://live.euronext.com/pt/product/equities/IE00BDVJJQ56-BGEM
NVIDIA CORP,1NVDA,BGEM,"EUR 161,92","0,24%",17:35 CET,https://live.euronext.com/pt/product/equities/US67066G1040-BGEM
NVIDIA CORP,2NVDA,MTAH,"EUR 161,84","-0,05%",18:55 CET,https://live.euronext.com/pt/product/equities/US67066G1040-MTAH
NVIDIA CORP,4NVDA,ETLX,"EUR 160,08","-0,87%",16:58 CET,https://live.euronext.com/pt/product/equities/US67066G1040-ETLX
NVR Inc,1NVR,BGEM,"EUR 7 000,00",-,14 Aug 2025,https://live.euronext.com/pt/product/equities/US62944T1051-BGEM
NX FILTRATION,NXFIL,XAMS,"EUR 2,70",-,17:35 CET,https://live.euronext.com/pt/product/equities/NL0015000D50-XAMS
NXP SEMICONDUCTORS,2NXPI,MTAH,"EUR 183,00","2,52%",02 Dec 2025,https://live.euronext.com/pt/product/equities/NL0009538784-MTAH
NXP SEMICONDUCTORS,4NXPI,ETLX,"EUR 197,00","-1,50%",02 Sep 2025,https://live.euronext.com/pt/product/equities/NL0009538784-ETLX
NXP SEMICONDUCTORS,1NXPI,BGEM,"EUR 205,00","-1,44%",09:19 CET,https://live.euronext.com/pt/product/equities/NL0009538784-BGEM
NYKODE THERAPEUTIC,NYKD,XOSL,"NOK 2,64","6,97%",16:25 CET,https://live.euronext.com/pt/product/equities/NO0010714785-XOSL
NYRSTAR,NYR,XBRU,"EUR 0,068","2,72%",16:52 CET,https://live.euronext.com/pt/product/equities/BE0974294267-XBRU
NYXOAH,NYXH,XBRU,"EUR 4,345","-3,34%",17:37 CET,https://live.euronext.com/pt/product/equities/BE0974358906-XBRU
O'Reilly Auto,1ORLY,BGEM,"EUR 80,56","2,08%",09 Jan 2026,https://live.euronext.com/pt/product/equities/US67103H1077-BGEM
OBIZ,ALBIZ,ALXP,"EUR 2,93","3,53%",17:23 CET,https://live.euronext.com/pt/product/equities/FR0014003711-ALXP
OBSERVE MEDICAL,OBSRV,XOAS,"NOK 0,715","-4,67%",16:25 CET,https://live.euronext.com/pt/product/equities/NO0013457952-XOAS
OCCIDENTAL PETR,1OXY,BGEM,"EUR 36,84","-2,49%",16:56 CET,https://live.euronext.com/pt/product/equities/US6745991058-BGEM
OCCIDENTAL PETR,2OXY,MTAH,"EUR 35,04","0,20%",12 Dec 2025,https://live.euronext.com/pt/product/equities/US6745991058-MTAH
OCCIDENTAL PETR,4OXY,ETLX,"EUR 35,745","2,63%",06 Jan 2026,https://live.euronext.com/pt/product/equities/US6745991058-ETLX
OCEAN GEOLOOP,OCEAN,MERK,"NOK 2,60","-6,48%",14:31 CET,https://live.euronext.com/pt/product/equities/NO0010914641-MERK
OCEAN SUN,OSUN,MERK,"NOK 1,50","2,74%",16:25 CET,https://live.euronext.com/pt/product/equities/NO0010887565-MERK
OCI,2OCI,MTAH,-,-,-,https://live.euronext.com/pt/product/equities/NL0010558797-MTAH
OCI,OCI,XAMS,"EUR 3,036","-1,24%",17:35 CET,https://live.euronext.com/pt/product/equities/NL0010558797-XAMS
OCTOPUS BIOSAFETY,MLOCT,XMLI,"EUR 0,185","-2,12%",16:30 CET,https://live.euronext.com/pt/product/equities/FR0013310281-XMLI
ODFJELL DRILLING,ODL,XOSL,"NOK 90,20","-0,22%",16:25 CET,https://live.euronext.com/pt/product/equities/BMG671801022-XOSL
ODFJELL SER. A,ODF,XOSL,"NOK 136,00","0,74%",16:27 CET,https://live.euronext.com/pt/product/equities/NO0003399909-XOSL
ODFJELL SER. B,ODFB,XOSL,"NOK 131,20","1,39%",16:25 CET,https://live.euronext.com/pt/product/equities/NO0003399917-XOSL
ODFJELL TECHNOLOGY,OTL,XOSL,"NOK 57,10","0,18%",16:25 CET,https://live.euronext.com/pt/product/equities/BMG6716L1081-XOSL
ODIOT S.A.,MLODT,XMLI,"EUR 40,00",-,05 Jan 2026,https://live.euronext.com/pt/product/equities/FR0014010DV3-XMLI
ODYSSEE TECHNO,ALODY,ALXP,"EUR 31,30","-0,95%",17:35 CET,https://live.euronext.com/pt/product/equities/FR001400U4P9-ALXP
OENEO,SBT,XPAR,"EUR 9,20",-,17:35 CET,https://live.euronext.com/pt/product/equities/FR0000052680-XPAR
Oesterreichische,1POST,BGEM,"EUR 29,95","-4,77%",18 Nov 2025,https://live.euronext.com/pt/product/equities/AT0000APOST4-BGEM
OFFICINA STELLARE,OS,EXGM,"EUR 25,00",-,16:59 CET,https://live.euronext.com/pt/product/equities/IT0005374035-EXGM
OK PROPERTIES,MLOKP,XMLI,"EUR 12,00",-,29 Mar 2023,https://live.euronext.com/pt/product/equities/ES0105698007-XMLI
OKEA,OKEA,XOSL,"NOK 23,90","4,14%",16:27 CET,https://live.euronext.com/pt/product/equities/NO0010816895-XOSL
OKEANIS ECO TANKER,OET,XOSL,"NOK 404,50","3,32%",16:25 CET,https://live.euronext.com/pt/product/equities/MHY641771016-XOSL
OKTA INC,1OKTA,BGEM,"EUR 80,25","-1,12%",11:26 CET,https://live.euronext.com/pt/product/equities/US6792951054-BGEM
OLAV THON EIENDOMS,OLT,XOSL,"NOK 334,00",-,16:25 CET,https://live.euronext.com/pt/product/equities/NO0005638858-XOSL
Old Dominion,1ODFL,BGEM,"EUR 135,80","6,76%",11 Dec 2025,https://live.euronext.com/pt/product/equities/US6795801009-BGEM
OLD ENGLAND,,VPXB,"EUR 130,01","10,18%",01 Dec 2015,https://live.euronext.com/pt/product/equities/BE0034169251-VPXB
OLIDATA,OLI,MTAA,"EUR 2,1785","0,39%",17:05 CET,https://live.euronext.com/pt/product/equities/IT0005634610-MTAA
OLIMPO REAL ESTATE,MLORE,ENXL,"EUR 3,70",-,05 Dec 2024,https://live.euronext.com/pt/product/equities/PTOTP0AM0004-ENXL
OMDA,OMDA,MERK,"NOK 46,20","-0,22%",16:28 CET,https://live.euronext.com/pt/product/equities/NO0010894512-MERK
OMER,OMER,EXGM,"EUR 3,60","-2,70%",17:20 CET,https://live.euronext.com/pt/product/equities/IT0005453748-EXGM
OMER-DECUGIS & CIE,ALODC,ALXP,"EUR 9,56","3,69%",17:35 CET,https://live.euronext.com/pt/product/equities/FR0014003T71-ALXP
Omnicom Group Inc,1OMC,BGEM,"EUR 66,10","-2,48%",12 Jan 2026,https://live.euronext.com/pt/product/equities/US6819191064-BGEM
OMV,1OMV,BGEM,"EUR 49,36","0,53%",14 Jan 2026,https://live.euronext.com/pt/product/equities/AT0000743059-BGEM
OMV,4OMV,ETLX,"EUR 49,56","1,02%",14:17 CET,https://live.euronext.com/pt/product/equities/AT0000743059-ETLX
ON HOLDING CLAS A,1ONON,BGEM,"EUR 43,00","6,44%",05 Jan 2026,https://live.euronext.com/pt/product/equities/CH1134540470-BGEM
ON Semiconductor,1ON,BGEM,"EUR 52,75","-0,57%",15:48 CET,https://live.euronext.com/pt/product/equities/US6821891057-BGEM
ON Semiconductor,2ON,MTAH,"EUR 51,04","-2,97%",18:00 CET,https://live.euronext.com/pt/product/equities/US6821891057-MTAH
ONCODESIGN PM,ALOPM,ALXP,"EUR 0,71","11,99%",17:35 CET,https://live.euronext.com/pt/product/equities/FR001400CM63-ALXP
ONCOINVENT,ONCIN,XOSL,"NOK 0,44","-1,35%",16:25 CET,https://live.euronext.com/pt/product/equities/NO0013251173-XOSL
ONDAS HOLDINGS INC,1ONDS,BGEM,"EUR 10,64","-6,01%",17:35 CET,https://live.euronext.com/pt/product/equities/US68236H2040-BGEM
ONE EXP BSA 2025 2,ONEBS,ALXP,"EUR 0,016","6,67%",11:51 CET,https://live.euronext.com/pt/product/equities/FR00140126G1-ALXP
ONE EXPERIENCE,ALEXP,ALXP,"EUR 0,65",-,17:37 CET,https://live.euronext.com/pt/product/equities/FR0013266772-ALXP
ONEOK,1OKE,BGEM,"EUR 63,04","1,35%",13 Jan 2026,https://live.euronext.com/pt/product/equities/US6826801036-BGEM
ONEOK,2OKE,MTAH,-,-,-,https://live.euronext.com/pt/product/equities/US6826801036-MTAH
ONEOK,4OKE,ETLX,"EUR 65,31","1,13%",28 Aug 2025,https://live.euronext.com/pt/product/equities/US6826801036-ETLX
ONLINEFORMAPRO,MLONL,XMLI,"EUR 0,74",-,14 Jan 2026,https://live.euronext.com/pt/product/equities/FR0004174712-XMLI
ONTEX GROUP,ONTEX,XBRU,"EUR 5,33","4,31%",17:35 CET,https://live.euronext.com/pt/product/equities/BE0974276082-XBRU
ONWARD MEDICAL,ONWD,"XBRU, XAMS, XPAR","EUR 4,53","-0,33%",17:35 CET,https://live.euronext.com/pt/product/equities/NL0015000HT4-XBRU
OPENDOOR TECHNOLOG,1OPEN,BGEM,"EUR 5,72","1,38%",17:29 CET,https://live.euronext.com/pt/product/equities/US6837121036-BGEM
OPMOBILITY,OPM,XPAR,"EUR 16,07","-1,89%",17:35 CET,https://live.euronext.com/pt/product/equities/FR0000124570-XPAR
OPMOBILITY,2OPM,MTAH,-,-,-,https://live.euronext.com/pt/product/equities/FR0000124570-MTAH
OPS ECOM,OEC,MTAA,"EUR 0,151","-0,98%",17:35 CET,https://live.euronext.com/pt/product/equities/IT0005122400-MTAA
OPS ITALIA,OPS,MTAA,"EUR 0,15","-1,64%",16:58 CET,https://live.euronext.com/pt/product/equities/IT0005577868-MTAA
OPS RETAIL,OPR,MTAA,"EUR 0,04","2,56%",14:42 CET,https://live.euronext.com/pt/product/equities/IT0005545675-MTAA
OPTIMCO,,VPXB,"EUR 64,00","-9,86%",30 Apr 2024,https://live.euronext.com/pt/product/equities/BE0942448938-VPXB
OPTION,OPTI,XBRU,"EUR 0,0106","6,00%",17:35 CET,https://live.euronext.com/pt/product/equities/BE0003836534-XBRU
OPTION CARE HEALTH,1OPCH,BGEM,"EUR 22,20","-4,31%",13 Oct 2025,https://live.euronext.com/pt/product/equities/US68404L2016-BGEM
ORACLE,1ORCL,BGEM,"EUR 162,72","-1,88%",17:35 CET,https://live.euronext.com/pt/product/equities/US68389X1054-BGEM
ORACLE,2ORCL,MTAH,"EUR 163,60","0,54%",18:10 CET,https://live.euronext.com/pt/product/equities/US68389X1054-MTAH
ORACLE,4ORCL,ETLX,"EUR 166,60","-4,03%",14 Jan 2026,https://live.euronext.com/pt/product/equities/US68389X1054-ETLX
ORANGE,ORA,XPAR,"EUR 14,77","1,10%",17:39 CET,https://live.euronext.com/pt/product/equities/FR0000133308-XPAR
ORANGE,4ORA,ETLX,"EUR 14,185",-,13 Jan 2026,https://live.euronext.com/pt/product/equities/FR0000133308-ETLX
ORANGE,1ORA,BGEM,"EUR 14,79","1,16%",10:25 CET,https://live.euronext.com/pt/product/equities/FR0000133308-BGEM
ORANGE,2ORA,MTAH,"EUR 14,355","4,93%",12 Dec 2025,https://live.euronext.com/pt/product/equities/FR0000133308-MTAH
ORANGE BELGIUM,OBEL,XBRU,"EUR 19,25","-0,26%",17:35 CET,https://live.euronext.com/pt/product/equities/BE0003735496-XBRU
ORBIS PROPERTIES,MLORB,XMLI,"EUR 13,60",-,30 Jul 2020,https://live.euronext.com/pt/product/equities/ES0105490009-XMLI
NORWEGIAN AIR SHUT,NAS,XOSL,"NOK 16,075","-1,86%",16:26 CET,https://live.euronext.com/pt/product/equities/NO0010196140-XOSL
NORWEGIAN BLOCK EX,NBX,MERK,"NOK 0,45","-3,02%",16:25 CET,https://live.euronext.com/pt/product/equities/NO0010984966-MERK
ORDISSIMO,ALORD,ALXP,"EUR 0,491","-4,48%",17:19 CET,https://live.euronext.com/pt/product/equities/FR0013318052-ALXP
OREGE,OREGE,XPAR,"EUR 0,29","-0,68%",16:43 CET,https://live.euronext.com/pt/product/equities/FR0010609206-XPAR
ORGANON & CO.,1OGN,BGEM,"EUR 7,482","3,31%",16:52 CET,https://live.euronext.com/pt/product/equities/US68622V1061-BGEM
ORGANON & CO.,4OGN,ETLX,"EUR 5,796","0,77%",05 Nov 2025,https://live.euronext.com/pt/product/equities/US68622V1061-ETLX
ORGANON&CO.,2OGN,MTAH,"EUR 6,83","2,95%",18 Nov 2025,https://live.euronext.com/pt/product/equities/US68622V1061-MTAH
PROTECTOR FORSIKRG,PROT,XOSL,"NOK 538,00","0,75%",16:25 CET,https://live.euronext.com/pt/product/equities/NO0010209331-XOSL
PROXIMAR SEAFOOD,PROXI,MERK,"NOK 0,68","1,49%",16:28 CET,https://live.euronext.com/pt/product/equities/NO0010893902-MERK
PROXIMUS,2PROX,MTAH,-,-,-,https://live.euronext.com/pt/product/equities/BE0003810273-MTAH
PROXIMUS,PROX,XBRU,"EUR 7,245","-1,56%",17:35 CET,https://live.euronext.com/pt/product/equities/BE0003810273-XBRU
PRUDENTIAL FIN,4PRU,ETLX,"EUR 89,14","1,25%",23 Oct 2025,https://live.euronext.com/pt/product/equities/US7443201022-ETLX
PRUDENTIAL FIN,2PRU,MTAH,"EUR 87,48","-0,86%",24 Oct 2025,https://live.euronext.com/pt/product/equities/US7443201022-MTAH
PRUDENTIAL FIN,1PRU,BGEM,"EUR 100,80","0,82%",07 Jan 2026,https://live.euronext.com/pt/product/equities/US7443201022-BGEM
PRYME,PRYME,MERK,"NOK 6,48","7,64%",15:03 CET,https://live.euronext.com/pt/product/equities/NL0015002E73-MERK
PRYSMIAN,2PRY,MTAH,"EUR 95,44","-0,38%",18:53 CET,https://live.euronext.com/pt/product/equities/IT0004176001-MTAH
PRYSMIAN,PRY,MTAA,"EUR 95,80","2,35%",17:39 CET,https://live.euronext.com/pt/product/equities/IT0004176001-MTAA
PSP,1PSPN,BGEM,"EUR 156,00",-,05 Jan 2026,https://live.euronext.com/pt/product/equities/CH0018294154-BGEM
PUBLIC PROPERTY IN,PUBLI,XOSL,"NOK 23,75","-0,21%",16:25 CET,https://live.euronext.com/pt/product/equities/NO0013178616-XOSL
Public Service Ent,1PEG,BGEM,"EUR 70,00","2,94%",10 Sep 2025,https://live.euronext.com/pt/product/equities/US7445731067-BGEM
PUBLICIS GROUPE,4PUB,ETLX,"EUR 87,66","0,92%",10:38 CET,https://live.euronext.com/pt/product/equities/FR0000130577-ETLX
PUBLICIS GROUPE SA,2PUB,MTAH,-,-,-,https://live.euronext.com/pt/product/equities/FR0000130577-MTAH
PUBLICIS GROUPE SA,PUB,XPAR,"EUR 86,28","-0,35%",17:35 CET,https://live.euronext.com/pt/product/equities/FR0000130577-XPAR
Puig Brands,1PUIG,BGEM,"EUR 16,11","6,13%",15 Jan 2026,https://live.euronext.com/pt/product/equities/ES0105777017-BGEM
PULLUP ENTERTAIN,ALPUL,ALXP,"EUR 15,78","11,60%",17:35 CET,https://live.euronext.com/pt/product/equities/FR0012419307-ALXP
PUMA,2PUM,MTAH,"EUR 23,36","-3,47%",09 Jan 2026,https://live.euronext.com/pt/product/equities/DE0006969603-MTAH
PUMA,4PUM,ETLX,"EUR 24,11","8,70%",08 Jan 2026,https://live.euronext.com/pt/product/equities/DE0006969603-ETLX
PUMA,1PUM,BGEM,"EUR 22,00","0,09%",17:15 CET,https://live.euronext.com/pt/product/equities/DE0006969603-BGEM
PURE STORAGE CL A,1PSTG,BGEM,"EUR 60,96","-4,78%",14 Jan 2026,https://live.euronext.com/pt/product/equities/US74624M1027-BGEM
PYRUM INNOVATIONS,PYRUM,MERK,"NOK 330,00","2,48%",16:25 CET,https://live.euronext.com/pt/product/equities/DE000A2G8ZX8-MERK
QEV,QEV,XAMS,"EUR 6,80","-1,45%",27 Nov 2025,https://live.euronext.com/pt/product/equities/NL0015000NM7-XAMS
QEV TREAS SHARES,QEVT,XAMS,-,-,-,https://live.euronext.com/pt/product/equities/NL0015000NL9-XAMS
QEV WARRANTS,QEVW,XAMS,"EUR 0,22","-70,67%",24 Feb 2022,https://live.euronext.com/pt/product/equities/NL0015000NK1-XAMS
QIAGEN,4QGEN,ETLX,"EUR 38,28","-3,35%",10 Feb 2025,https://live.euronext.com/pt/product/equities/NL0015002SN0-ETLX
QIAGEN,2QGEN,MTAH,"EUR 40,185","-2,98%",25 Nov 2024,https://live.euronext.com/pt/product/equities/NL0015002SN0-MTAH
QIAGEN,1QGEN,BGEM,"EUR 40,65","0,76%",14 Jan 2026,https://live.euronext.com/pt/product/equities/NL0015002SN0-BGEM
Qorvo Inc,1QRVO,BGEM,"EUR 69,13","-2,94%",15 Jan 2026,https://live.euronext.com/pt/product/equities/US74736K1016-BGEM
QRF,QRF,XBRU,"EUR 10,85","1,40%",16:14 CET,https://live.euronext.com/pt/product/equities/BE0974272040-XBRU
Qt Group Oyj,1QTCO,BGEM,"EUR 38,00","-1,81%",22 Oct 2025,https://live.euronext.com/pt/product/equities/FI4000198031-BGEM
QUADIENT,QDT,XPAR,"EUR 16,40","-1,56%",17:35 CET,https://live.euronext.com/pt/product/equities/FR0000120560-XPAR
QUALCOMM,1QCOM,BGEM,"EUR 137,96","-2,49%",17:35 CET,https://live.euronext.com/pt/product/equities/US7475251036-BGEM
QUALCOMM,4QCOM,ETLX,"EUR 139,66","-2,85%",14 Jan 2026,https://live.euronext.com/pt/product/equities/US7475251036-ETLX
QUALCOMM,2QCOM,MTAH,"EUR 142,82","-0,64%",13 Jan 2026,https://live.euronext.com/pt/product/equities/US7475251036-MTAH
QUALYS INC,1QLYS,BGEM,"EUR 111,60","-2,87%",02 Jan 2026,https://live.euronext.com/pt/product/equities/US74758T3032-BGEM
Quanta Services,1PWR,BGEM,"EUR 359,90","-0,22%",12 Jan 2026,https://live.euronext.com/pt/product/equities/US74762E1029-BGEM
QUANTUM GENOMICS,ALQGC,ALXP,"EUR 0,0721","-1,77%",24 Oct 2024,https://live.euronext.com/pt/product/equities/FR0011648971-ALXP
Quest Diagnostic,1QDX,BGEM,"EUR 151,30","2,26%",06 Jan 2026,https://live.euronext.com/pt/product/equities/US74834L1008-BGEM
QUESTERRE ENERGY,QEC,XOSL,"NOK 2,235","0,22%",16:26 CET,https://live.euronext.com/pt/product/equities/CA74836K1003-XOSL
QUESTFOR GR-PRICAF,QFG,XBRU,"EUR 4,09","-0,24%",17:29 CET,https://live.euronext.com/pt/product/equities/BE0003730448-XBRU
QWAMPLIFY,ALQWA,ALXP,"EUR 1,80","0,56%",16:25 CET,https://live.euronext.com/pt/product/equities/FR0010889386-ALXP
RACING FORCE,RFG,EXGM,"EUR 5,02","-1,57%",12:07 CET,https://live.euronext.com/pt/product/equities/IT0005466963-EXGM
RACING FORCE,ALRFG,ALXP,"EUR 5,16","0,39%",12:34 CET,https://live.euronext.com/pt/product/equities/IT0005466963-ALXP
RADICI,RAD,EXGM,"EUR 1,03",-,14 Jan 2026,https://live.euronext.com/pt/product/equities/IT0005379737-EXGM
RAI WAY,RWAY,MTAA,"EUR 5,59","-0,36%",17:35 CET,https://live.euronext.com/pt/product/equities/IT0005054967-MTAA
Raiffeisen Bank,4RBI,ETLX,"EUR 36,24","-2,32%",15 Jan 2026,https://live.euronext.com/pt/product/equities/AT0000606306-ETLX
Raiffeisen Bank,1RBI,BGEM,"EUR 37,50","1,63%",16:43 CET,https://live.euronext.com/pt/product/equities/AT0000606306-BGEM
RAIZE,MLRZE,ENXL,"EUR 0,84","2,44%",11:30 CET,https://live.euronext.com/pt/product/equities/PTRIZ0AM0009-ENXL
Ralph Lauren Corp,1RLA,BGEM,"EUR 309,00","-0,50%",07 Jan 2026,https://live.euronext.com/pt/product/equities/US7512121010-BGEM
RAMADA,RAM,XLIS,"EUR 7,46","0,54%",16:29 WET,https://live.euronext.com/pt/product/equities/PTFRV0AE0004-XLIS
RAMBUS INC,1RMBS,BGEM,"EUR 91,00","8,96%",15 Jan 2026,https://live.euronext.com/pt/product/equities/US7509171069-BGEM
RAMSAY GEN SANTE,GDS,XPAR,"EUR 10,20","5,16%",17:25 CET,https://live.euronext.com/pt/product/equities/FR0000044471-XPAR
RANA GRUBER,RANA,XOSL,"NOK 77,20",-,16:25 CET,https://live.euronext.com/pt/product/equities/NO0010907389-XOSL
RANDSTAD NV,RAND,XAMS,"EUR 29,90","-1,81%",17:35 CET,https://live.euronext.com/pt/product/equities/NL0000379121-XAMS
RANDSTAD NV,2RAND,MTAH,-,-,-,https://live.euronext.com/pt/product/equities/NL0000379121-MTAH
RAPID NUTRITION,ALRPD,ALXP,"EUR 0,0058","-6,45%",17:35 CET,https://live.euronext.com/pt/product/equities/GB00BM9PTW47-ALXP
Rational AG,1RAA,BGEM,"EUR 667,50","-2,63%",12 Jan 2026,https://live.euronext.com/pt/product/equities/DE0007010803-BGEM
RATTI,RAT,MTAA,"EUR 1,43",-,17:24 CET,https://live.euronext.com/pt/product/equities/IT0004724107-MTAA
Raymond James Fin,1RJF,BGEM,"EUR 136,00","-2,16%",13 Oct 2025,https://live.euronext.com/pt/product/equities/US7547301090-BGEM
RCS MEDIAGROUP,RCS,MTAA,"EUR 0,986","-0,60%",17:35 CET,https://live.euronext.com/pt/product/equities/IT0004931496-MTAA
REACH SUBSEA,REACH,XOSL,"NOK 6,77","0,15%",16:25 CET,https://live.euronext.com/pt/product/equities/NO0003117202-XOSL
REALCO,REAL,MLXB,"EUR 19,70","4,79%",14 Jan 2026,https://live.euronext.com/pt/product/equities/BE0003841583-MLXB
REALITES,ALREA,ALXP,"EUR 0,352","0,57%",15:00 CET,https://live.euronext.com/pt/product/equities/FR0011858190-ALXP
REBIRTH,ALREB,ALXP,"EUR 2,32","0,87%",28 May 2025,https://live.euronext.com/pt/product/equities/IT0005460081-ALXP
REC SILICON,RECSI,XOSL,"NOK 1,05","-1,50%",16:29 CET,https://live.euronext.com/pt/product/equities/NO0010112675-XOSL
RECORDATI ORD,2REC,MTAH,"EUR 48,42","0,33%",15 Jan 2026,https://live.euronext.com/pt/product/equities/IT0003828271-MTAH
RECORDATI ORD,REC,MTAA,"EUR 47,98","-0,58%",17:35 CET,https://live.euronext.com/pt/product/equities/IT0003828271-MTAA
RECTICEL,RECT,XBRU,"EUR 9,74","-1,62%",17:35 CET,https://live.euronext.com/pt/product/equities/BE0003656676-XBRU
RED CAT HOLDINGS I,1RCAT,BGEM,"EUR 12,25","2,08%",17:19 CET,https://live.euronext.com/pt/product/equities/US75644T1007-BGEM
RED ELECTRICA CORP,4REE,ETLX,"EUR 16,90","1,38%",21 Aug 2025,https://live.euronext.com/pt/product/equities/ES0173093024-ETLX
RED ELECTRICA CORP,1REE,BGEM,"EUR 14,91","0,95%",10:33 CET,https://live.euronext.com/pt/product/equities/ES0173093024-BGEM
RED ELECTRICA CORP,2REE,MTAH,-,-,-,https://live.euronext.com/pt/product/equities/ES0173093024-MTAH
Redcare Pharma,4SAE,ETLX,"EUR 61,20","-2,63%",04 Dec 2025,https://live.euronext.com/pt/product/equities/NL0012044747-ETLX
Redcare Pharma,1RDC,BGEM,"EUR 76,15","-4,69%",27 Oct 2025,https://live.euronext.com/pt/product/equities/NL0012044747-BGEM
Reddit Inc,2RDDT,MTAH,"EUR 222,00","1,84%",13 Jan 2026,https://live.euronext.com/pt/product/equities/US75734B1008-MTAH
Reddit Inc,1RDDT,BGEM,"EUR 198,00","-4,81%",16:41 CET,https://live.euronext.com/pt/product/equities/US75734B1008-BGEM
REDELFI,RDF,EXGM,"EUR 12,86","0,63%",17:35 CET,https://live.euronext.com/pt/product/equities/IT0005496101-EXGM
REDFISH,RFLTC,EXGM,"EUR 1,295","-1,15%",12:30 CET,https://live.euronext.com/pt/product/equities/IT0005549354-EXGM
REFUELS,REFL,MERK,"NOK 14,60","5,04%",16:25 CET,https://live.euronext.com/pt/product/equities/NL0015001BF4-MERK
REGENERON PHARMA,4REGN,ETLX,"EUR 482,00","-1,49%",13 Oct 2025,https://live.euronext.com/pt/product/equities/US75886F1075-ETLX
REGENERON PHARMA,1REGN,BGEM,"EUR 635,20","-1,12%",16:07 CET,https://live.euronext.com/pt/product/equities/US75886F1075-BGEM
REGENERON PHARMA,2REGN,MTAH,"EUR 683,60","-0,90%",09 Jan 2026,https://live.euronext.com/pt/product/equities/US75886F1075-MTAH
